,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
220,20024801,,jt,adobe inc. - common stock (adbe) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,03/15/2024,,"$1,001 - $15,000",,st,adbe
221,20024801,,jt,adobe inc. - common stock (adbe) [st],s,03/13/2024,,"$1,001 - $15,000",,st,adbe
222,20024801,,jt,"advanced micro devices, inc. (amd) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",p,03/18/2024,,"$1,001 - $15,000",,st,amd
223,20024801,,jt,"advanced micro devices, inc. (amd) [st]",p,03/15/2024,,"$1,001 - $15,000",,st,amd
224,20024801,,jt,agree realty corporation common stock (adc) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,03/14/2024,,"$1,001 - $15,000",,st,adc
225,20024801,,jt,apple inc. - common stock (aapl) [st],s,03/22/2024,,"$1,001 - $15,000",,st,aapl
226,20024801,,jt,apple inc. - common stock (aapl) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,03/15/2024,,"$1,001 - $15,000",,st,aapl
227,20024801,,jt,bhp group limited american depositary shares (bhp) [st],s,03/12/2024,,"$1,001 - $15,000",,st,bhp
228,20024801,,jt,biontech se - american depositary shares (bntx) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1,s,03/14/2024,,"$1,001 - $15,000",,st,bntx
229,20024801,,jt,"block, inc. class a common stock, (sq) [st]",p,03/21/2024,,"$1,001 - $15,000",,st,sq
230,20024801,,jt,"cbiz, inc. common stock (cbz) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",s,03/07/2024,,"$1,001 - $15,000",,st,cbz
231,20024801,,jt,"d.r. horton, inc. common stock (dhi) [st]",p,03/14/2024,,"$1,001 - $15,000",,st,dhi
